,blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
0,6003280,1532167401,0x05ba39b92cedb19e57784ae48521b0093ab458bfa5e6ceb6df3bc2725c616ec3,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,15.8128,None
1,6003389,1532169104,0x018580a66d802d016407c0464a876552cf028280f26578bafe92e4a72d15db6d,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,79.1826,None
2,6003478,1532170518,0xa12c337e1f036c689390954bc39994b23323048ecbf1fc4dd58e2b21793c0123,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,174.67569999999995,None
3,6003506,1532170986,0x92100fc43254e8dfff0af77a7bfa3762464dbdd56270402c57c42e5ca544dbd8,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,16.1125,None
4,6074996,1533214859,0x13e4f591e3c9fe4623b5066d96ed8beedf2edd2f8daf136a24b1814205f92da0,0x5f264587dc9253f40059f2bfce003359b3873ddf,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,82.83,None
5,6194215,1534954139,0xc38cb04f01d4d68ea382a53ae3c7ff966d9b4cc746ff28142aa1ff510560691e,0xedc476cab2c54f4c890bf423dd5e8b633a986930,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,43.07,None
6,6342971,1537110850,0x9692b6c0d8624a00dd1dfc42ce90ecc5956e657f8b50cb6a39c7e36b18ae6111,0x564286362092d8e7936f0549571a803b203aaced,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,59.0,None
7,6354210,1537271352,0x8885a7b1f0c9cc58ba723c9d7be538be4d9bddaf4a00caf70e6c48279d04d468,0x564286362092d8e7936f0549571a803b203aaced,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,62.0,None
8,6440752,1538500604,0x728ab8add0ec5fcabda7447beac70e15e25b7116a343a60f8124c7deff96f828,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,56.99,None
9,6726598,1542532987,0xdd6362c127088b8ca5c8cf006c3f6067d8108c1ab985f8e9729f69ff39d0b464,0x564286362092d8e7936f0549571a803b203aaced,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,63.36547376,None
10,6732871,1542621584,0xff0828cad3fae6c85463b5ce3e4c9f8f26aab5477e38672fdefa9261c72664e8,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,67.99,None
11,6739252,1542713056,0xe767110a0c811bf97a294ca9db8a05455835e3567967ba093c140ea040153577,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0,0,call,0x,49.34668300000001,None
12,7354410,1552395687,0xa8fccd2d352c1fe8c50545b3495915d3480a704d4e13bf28dbcaae20d7f1ade7,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x4d7b76b6ec9e0aeb84e2fb998f023e8d0621f983,0,0,call,0x,28.0,None
13,7354563,1552397771,0x6c72df566dd2d3a3ac9512be91f85737aaab4ac0041e7a725d76946725fda162,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0xe62c8c139a8156ba3ec638f7d77a775650e0faa6,0,0,call,0x,30.0,None
14,7354792,1552400528,0x1885c282b789fe4b408edd6874cf30ec4563857f44362e7bf23bbaca03317114,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x3a7bba52c38149814093cc43c0b166fad77c7021,0,0,call,0x,30.0,None
15,7354829,1552400910,0xebc3efeb6c53a5bb1ce9810334d7e63bf25d1afc78d479afb0974664ae26dacb,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0xb7d80048864d98ffc1f9ac77526866b6fd19cf84,0,0,call,0x,23.0,None
16,7355328,1552407831,0x5745070869711ce47c1e168ea6896ecd0fba77a0b17b79c4488fd7715632f725,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x4d7b76b6ec9e0aeb84e2fb998f023e8d0621f983,0,0,call,0x,15.0,None
17,7355863,1552414926,0x7a9088568185f0a319a27e5b1acfed53c67849eef30bf0fbb26c0fc9497960af,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x4589fd9e1f6207e5cfa937e9bf94864baca8af75,0,0,call,0x,53.0,None
18,7361522,1552491111,0x30ecfca2a61fb8cc2e9ebed5f96c30ca82c8acfdf74d9b2ab87e2b26b562c68a,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x959117c48856d9e6b7762ca772232271f419858c,0,0,call,0x,41.0,None
19,7399623,1553003519,0x247c5097ee0f5b9d2c67bae5bc71633db6cdce4bb3e0dcf3b42de804e5784e88,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x76a585b3a5dbdff363ca726febb2231fb440925f,0,0,call,0x,11.0,None
20,7701628,1557068676,0x8f72b9fa17998afc343f07be8fe870da423454f54ebc6edc6079e1b366571428,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x7eeb010b9d432cb745cfaadabb05e1463111f521,0,0,call,0x,10.0,None
21,7758483,1557836737,0xcfc1f84caa359b1d0e279f96e92bf9f3ea0c78518d98683c836275734a857e00,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x432b1e5fc5633a7fac328bc88c70824c0736b978,0,0,call,0x,2.0,None
22,8122396,1562746863,0x6104c1767cd903b4b7061c56c174212839bfb9d6590e9d359d0f8f6a807b4306,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x76a585b3a5dbdff363ca726febb2231fb440925f,0,0,call,0x,1.0,None
23,8508614,1567937080,0x5ba8d027ae3f04d321333d46d5fb16e11d74e45d6159b799ed17a4ef5d50e9e8,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,0x7eeb010b9d432cb745cfaadabb05e1463111f521,0,0,call,0x,2.24,None
