,blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
0,2354924,1475244895,0x42f5a2d924d7dd164f44ff4963f0000933454433f8661becf6df8c1b407edda0,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,4.54510409,None
1,2354963,1475245388,0xfdfff0ceb18d006c46db9d5180ebf53643d9902af54c4e19da9650d98114b367,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,111.43232959,None
2,2355866,1475258138,0x0d13e2e4a230532264f4c90ac39511e13c2a2d024de7948618e24bfadc74aa67,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,111.26148732,None
3,2355892,1475258456,0xe971244c83ff99744e4c3d16c3f55ef97d4b08d27fcb342a05c115c8adedd6c6,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,111.27507681,None
4,2355990,1475259527,0x4d33f22954ff8dc2f1a67893979dde55ebde4efca0130d5159fe8aaf565ea11a,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,45.43109662000001,None
5,3429078,1490635067,0xc02f76a8155902422d07e9edfef68df064d3cee260202a1695ce8e36cd1529b9,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x20,97.41783008,None
6,3429440,1490640302,0x188563281ffef42ba23f01b6e97eb9f280ca675fa72adef2032a69180ecf11fe,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x20,97.70800849999999,None
7,3430197,1490650987,0x28f68c2e5c6c4b18cb8e37bf776d52a131442c27e38fe5ae0475586539aac9a5,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x20,98.82037637,None
8,3645711,1493851846,0xbfcbe89134e6222388578518ec38ba5d8eb8e9646d10c7878ab89b9de8766716,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,57.66104028,None
9,3645790,1493852907,0xd51e5f0b62e258d203f4941a28a11cba8ce534ac081fbc3247774df02ef7866d,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,61.97782327,None
10,3645971,1493855812,0xfc3bb29e478062f523ea46eda0f96e53ea3f3964b9001628e9cbe04b7e65e6e5,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,61.09557002,None
11,3800718,1496274374,0x24d9e5f6790275a12bfb4ce0ed2846236466809ca6ee6b2b206cd11c99c4e88b,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,20.09243542,None
12,3800905,1496276845,0xe4795ad1ce70b6ced21552d5856258408754cd46f0e812d552bc67458564dcaa,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,4.97575854,None
13,4693737,1512692291,0xbcd2019e3762477f002a6e016e538e7bc306912fac0816f0d6b6c2d60ae27fd0,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0x73edc2dda8044ea4f805529d4e9f2ee33197dcca,0,0,call,0x,86.0,None
14,4966487,1516832428,0xdf8aac1d41e678bcd833e4eabd8f886384f442ec748dcc7e4e90b89c8fad0f7d,0xb6aac3b56ff818496b747ea57fcbe42a9aae6218,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,2.16988,None
15,5987645,1531936366,0x5e6e31a640f9484683692f1cbf851fc15036839cf6f162de88e148c76e9663ea,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0xc8e42db5decf51680b8bc0ef364eac889943b55c,0,0,call,0x,10.0,None
16,6404825,1537991267,0x74876e96835b5fe53a936c6e45d830fc6d87d6efa91d847822def8fbffe59e94,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0x032d799ec0ac23389a108fd6896a47b7b780a751,0,0,call,0x,1.0,None
17,6519710,1539607634,0x453c3cf35ece895af171b55705906dd1dbc5c41bf0e12373b8815f744a541889,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0xf80b9ba1befacfb0df0bb0959d150af626dd129c,0,0,call,0x,0.5,None
18,7446342,1553632467,0x942a8da9e0a137408edfeefbae20e398fa8b9cd59f51c53a845d620edda1c541,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0x1741b198a5acbc9d5bd445f4085f643322a8c0e7,0,0,call,0x,0.1,None
19,7446411,1553633368,0xeb3fcc9425740805720c19f4be548a53feaaab46ae78a5b9f9116984786ba339,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0x1741b198a5acbc9d5bd445f4085f643322a8c0e7,0,0,call,0x,9.9,None
20,8810818,1572029868,0xc3cbbe500fd77d51fdcc96850dd8511bb4c7f410e93b1e034171780cc985a22b,0x27c676014c7ada623fba2fb2e12c4d40b2c9bb3d,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0,0,call,0x,9.11e-16,None
21,9083790,1575990733,0x0465d2c9b313950e805237049a21e32cb4ea8818f1d83605b247e071a08baaf2,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0xe3615e2988854145008f0e679e6918d980fcbd60,0,0,call,0x,1.0,None
22,9126972,1576696016,0x282e5d1b630102ff49a32d20f16ff13161358c8abc076a83ab7aa65633af15a6,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0xe3615e2988854145008f0e679e6918d980fcbd60,0,0,call,0x,100.0,None
