,blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
0,5467665,1524129973,0x748bc6f04b0c2e127fb4d7af0074c4a3e8f210572bb441e6be699daefba425e4,0x8f43a8008b9e50e7215816671163da4ba9d95894,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,0.67572569,None
1,5468393,1524141160,0x006d9baaf96d2667c123d2fe19eebbe5c7faafbd93991165adfcd5f14474a38e,0x564286362092d8e7936f0549571a803b203aaced,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,0.6051270000000001,None
2,5468956,1524149657,0xd701532abef699194f95b72bd9f80fcf3089a8a610f454ba6d27c907e2538364,0xb9fc5bfe0cd2742399ae24530bd605b914dfce00,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,0.5,None
3,5469175,1524152990,0xdceeb9c69fa6bc298cc0e7326181c79231ea9d3460e903d5650304a27c07105e,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,0.501,None
4,5469277,1524154544,0x9241ab84854d5685cfddecc1a2e5e80dd2e5a8718e21d449803885a4bc59ed9d,0x9fcafcca8aec0367abb35fbd161c241f7b79891b,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,0.01236928,None
5,5469478,1524157716,0xdedaac24b1df7d2290fc868ade581cc253de078d0d13c2fe48e8fa5d939684f2,0x3ead47a4f62f2384d9066df62c0893716918cdbb,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,1.15099253,None
6,5469545,1524158707,0xe13a93d4c5920f82f670f6596ed247e3bc345665c6e45688f5bd94c7ab4c4949,0x4b88b8075e70f72d05e137f81455a5fd710dfbab,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,0.5,None
7,5469801,1524162297,0x7c8a543ea98486156fd8958bf8fdf68019f918d433787568b7493cbc4787d6d5,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,1.0,None
8,5469889,1524163789,0x9200d6b96512330b01fe0742e925c4a677fddcce83c4b2760ce4c46decfd9bbf,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,6.966560799999999,None
9,5470047,1524166121,0xaa9a1625fd175b4b1bf0e5e6d7bfebc271b1494b99bb19add60d2f9cc78fc186,0x690e717cfc985ac726824acaaa8eadbfcc471481,0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,0,0,call,0x,0.5,None
