blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
5518725,1524890554,0x8e156908d964af68eded92d10419f6d348ae41bb0be4c8814fd85f982e4eb3dd,0x9f3f5dca5476b4c1973ae3f61d84f0e96fffa53a,0x88bdeb65ed500794118d0e5fdf5808d23bb74e73,0,0,call,0x,0.011000000000000001,None
5060311,1518198486,0xcb3a1538ba0bb86b63086250adc6745900dc65b61caaa3378ec3f2754805f2e6,0x2e132368afe1a7ce609a1dcd4736370a5b4d4cbf,0x88bdeb65ed500794118d0e5fdf5808d23bb74e73,0,0,call,0x,0.2,None
5060517,1518201391,0x18e8e427b48e7215a6be191ca073bc1f85593954de4a2ca5493195184fae814a,0x88bdeb65ed500794118d0e5fdf5808d23bb74e73,0xe3e21bc668b399f5cd552c8c893c977ccfeb3798,0,0,call,0x,0.19899999999999998,None
5173163,1519847952,0x5a214525c87dbfd01843f7a5b60a20a4e4120d4838727642d6758e4556d38b12,0x88bdeb65ed500794118d0e5fdf5808d23bb74e73,0xe3e21bc668b399f5cd552c8c893c977ccfeb3798,0,0,call,0x,0.0007059999999999999,None
5607091,1526223753,0x651b88a884b0915d6d315b113c47c963202ed8fa991346cbeef866b6b021b934,0xe3e21bc668b399f5cd552c8c893c977ccfeb3798,0x68c533bc35e6697602c293addd908c09bf71f9b3,0,0,call,0x,0.3,None
5607080,1526223540,0xf17a8c64092353e349e372b577b60c67bcf1d2e40aef107429a72d6e08c710fd,0x88bdeb65ed500794118d0e5fdf5808d23bb74e73,0x68c533bc35e6697602c293addd908c09bf71f9b3,0,0,call,0x,0.010559,None
