blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
1943543,1469358379,0xe0b981f648ac36110aaac0e9e75c793f7a700ae217c1623720c4efe566a9513b,0x0cfb4e8fb7c4ce8b7746adcf409cc696110da3be,0x529ac45c2d6b514ee0dd49c95506da53df598246,0,0,call,0x,2.257615571816183,None
1945731,1469391069,0xa0de671e656927ea814a3194f203cd079a668d41d02c3fe9e7afc28708f82193,0x529ac45c2d6b514ee0dd49c95506da53df598246,0x0cfb4e8fb7c4ce8b7746adcf409cc696110da3be,0,0,call,0x,14.999577937565807,None
1945764,1469391526,0x69e5d5bbcdabb5d418ac5734b81be6bc6c756b669b6e96e805e75e98134d24e6,0x0cfb4e8fb7c4ce8b7746adcf409cc696110da3be,0x529ac45c2d6b514ee0dd49c95506da53df598246,0,0,call,0x,6021.39915793756,None
2257250,1473847809,0x31051141bf2f9ae1944c9131e8846c063666bcd3a88abb84671458720963bc90,0x3a1911bbde1fd1d8a318f7029ea566f3f83d4baf,0x0cfb4e8fb7c4ce8b7746adcf409cc696110da3be,0,0,call,0x,1225.1382924386062,None
2257831,1473855785,0xb365f3231cfcbf90a55ec8dc99e315f4328ff0da4c173ea37bc7b2ba04976e0e,0x0cfb4e8fb7c4ce8b7746adcf409cc696110da3be,0x3a1911bbde1fd1d8a318f7029ea566f3f83d4baf,0,0,call,0x,1225.137872438612,None
1945951,1469394241,0x1bf028a4c343945d2adb82735598e1a2f4da93b784e18518d00d8448a21d00b2,0x0ae64952d9838d2ebe92b1d55e454b2855b7bb2d,0xa9b4b45a86a8ee881a60e5691ce3dd7ee878290d,0,0,call,0x,9500.099580000002,None
1945972,1469394613,0x603253b6944deb3fbdcee7633b49432f6fe87fecebfa5680515ddf07ff7f78be,0xa9b4b45a86a8ee881a60e5691ce3dd7ee878290d,0x529ac45c2d6b514ee0dd49c95506da53df598246,0,0,call,0x,99.99950063472383,None
3766519,1495736259,0xd8506ecbe87a60eb0cfe24e9c123d79a2155569bebf470f9a29c7b92a5d66f67,0x0ae64952d9838d2ebe92b1d55e454b2855b7bb2d,0xa9b4b45a86a8ee881a60e5691ce3dd7ee878290d,0,0,call,0x,600.0,None
8278665,1564848240,0x637f7bdb98bdea2362f29323af232cb93d06a43db7c743320c1db6b1f875c823,0x33538b3808aa60f88d9564bc93e2f70b51e79a55,0x529ac45c2d6b514ee0dd49c95506da53df598246,0,0,call,0x,9.11e-16,None
1945706,1469390677,0x65de7c072123ba7e2efb81dfbe68b1056069deeb6588479dc6fa8d242674d1d7,0x3a1911bbde1fd1d8a318f7029ea566f3f83d4baf,0x529ac45c2d6b514ee0dd49c95506da53df598246,0,0,call,0x,17.499533336522838,None
2064738,1471096882,0x892cce53fb85cf28986f848e9c426ea59e115991eae192de212d6a810b43f6b2,0x529ac45c2d6b514ee0dd49c95506da53df598246,0x3a1911bbde1fd1d8a318f7029ea566f3f83d4baf,0,0,call,0x,25.0,None
2064778,1471097533,0x6c23cf9c1f910a963f817153c5aea391ed9840cc575fad2feb27020efca9574b,0x3a1911bbde1fd1d8a318f7029ea566f3f83d4baf,0x529ac45c2d6b514ee0dd49c95506da53df598246,0,0,call,0x,9.0,None
2064788,1471097653,0xb20c76a54f405eda7223c490fad77996dedf81be99d9f6e75656140b84cd3787,0x3a1911bbde1fd1d8a318f7029ea566f3f83d4baf,0x529ac45c2d6b514ee0dd49c95506da53df598246,0,0,call,0x,6.0,None
2064832,1471098351,0x85e42cd1dd9d158371c49427589a869dd145a02af21e391f478f3bdfbacb92ad,0x529ac45c2d6b514ee0dd49c95506da53df598246,0x3a1911bbde1fd1d8a318f7029ea566f3f83d4baf,0,0,call,0x,14.00000048062285,None
1945930,1469393871,0x791f317c1f2c7a7222f8fb7e4916207ada828138b990524f41e84ecb521be2a0,0x529ac45c2d6b514ee0dd49c95506da53df598246,0x0ae64952d9838d2ebe92b1d55e454b2855b7bb2d,0,0,call,0x,99.99958000000001,None
