blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
8295185,1565068828,0x73f53085ab6899665fa58f9b5ef1ef5c48b3536f4d56d9964449d79b4128d88b,0x33538b3808aa60f88d9564bc93e2f70b51e79a55,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,9.11e-16,None
1504258,1463063883,0x09166851432670c381c47774e9b6f5f134da9adde4cb577dc2447f4b762d751e,0xcd20fac6472f9cb1ed3b7fcb5823d2e3f8c08fdc,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,199.27702,None
1496770,1462957570,0xb1fa96053ca84d8995f6d3aa2091f5f5aee3d4d7d627f1ff5135ec6b5aedfce6,0x536fef0b5ae77486a5795048a659d689cd787c36,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,0.1,None
1508927,1463130931,0x1a8f68962026492d76fa17bebf47c216b7f07d1a0121f4cd31e4f5dabec7f01f,0x536fef0b5ae77486a5795048a659d689cd787c36,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,0.1,None
1540443,1463583921,0x2e7386d1fa38d24b896cb008b6fb5164ae4aa83f82374f75a64d46a716ca1c47,0x536fef0b5ae77486a5795048a659d689cd787c36,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,0.1,None
1551142,1463736331,0xdb5d78eb319cfa1f58e6a8039d1e6a1aa743bdc80bb6264f7315426b97dfd023,0x536fef0b5ae77486a5795048a659d689cd787c36,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,0.1,None
1568882,1463990719,0x28b55ab7ff09f6eb06e3ce492a0d42a5edcfbb9a0b20f00aee59fd64ecc06e9b,0x536fef0b5ae77486a5795048a659d689cd787c36,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,0.1,None
1575205,1464081032,0xc489434f2a000e82543ddca8129d63e578997308afc7bc04194b20842f6aef6e,0x536fef0b5ae77486a5795048a659d689cd787c36,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,0.1,None
1583933,1464206150,0x1ee6314c75a4035fb938aadfc7916e0a0d5b100cc1cb364f59de3c2882cb62b0,0x536fef0b5ae77486a5795048a659d689cd787c36,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,3.66112616,None
1587342,1464255040,0xe3a542a4263dcfee8ec653067f16ffb8a90adb9d24926143c9c04f0b60493023,0x536fef0b5ae77486a5795048a659d689cd787c36,0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8,0,0,call,0x,0.1,None
