,blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
0,5579839,1525812845,0xd5f5efc4d192121c1cb954fbd2196b115f57a7d4eeb0cce14c8a074bca44f660,0xf22849e804ff56cb0f267745caefa998ea117862,0xa0d4bee1beeafce031c56cfb40210746cc6ab2d0,0,0,call,0x,0.14,None
1,5583909,1525874369,0x6a40ed2ecfc3d6389cb6d2ff2c6691190ef4242de9d38d6962fa0b0b66914196,0x1117ea9cb6009f22ca350219eab798373ed80002,0xa0d4bee1beeafce031c56cfb40210746cc6ab2d0,0,0,call,0x,8.8,None
2,5583987,1525875467,0xeff5729cb92303233370e7e52d72d93680747605d0fd1bad7174637bc3a39126,0x13e028f534263aaa5ef8762a4a3a2da33ab23022,0xa0d4bee1beeafce031c56cfb40210746cc6ab2d0,0,0,call,0x,1.08,None
3,5584279,1525879659,0x096b46876ce1050516a4e06f87a2500a92fb07cd3805d9e89a81363165e59eab,0x788db711bdc69ee072b8de053ba59fcb3f901c91,0xa0d4bee1beeafce031c56cfb40210746cc6ab2d0,0,0,call,0x,1.0,None
4,5652973,1526922908,0x759424e88f3f696af10b98d1ffc9201dbb9588d1d8de53fc1fb0699f71ca838e,0xa0d4bee1beeafce031c56cfb40210746cc6ab2d0,0x65068fdf5dbee45673c60f69608b9ad1bdc9a769,0,0,call,0x,4.0,None
5,5652988,1526923136,0x811cb67fb1777854c387e0d29d75ca0a7276ecf22a2c9df7aed1bd73fbefe9ab,0xa0d4bee1beeafce031c56cfb40210746cc6ab2d0,0x65068fdf5dbee45673c60f69608b9ad1bdc9a769,0,0,call,0x,1.1944,None
6,5652998,1526923293,0xf7f8586ee30f6c44073461b26c2903df7c5a4eb0c0dbf2fdddf9b201bfc874b5,0xa0d4bee1beeafce031c56cfb40210746cc6ab2d0,0x65068fdf5dbee45673c60f69608b9ad1bdc9a769,0,0,call,0x,5.823017,None
