,blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
0,5531671,1525084676,0xc5eede49c077391035c49619ba05c366d6f48e0b8a07e915f1b4a4512d6292da,0x9c4fca4c220efaf55c7531aaaebf0936b7c54227,0x581ffaadeeb6d183a73d93413e137cb8c6057603,0,0,call,0x,0.5,None
1,5531745,1525085997,0x079d61bafdf11cc1f33a6b83d442712ed75356dcc18b2ddb52894c8101c49cd9,0x564286362092d8e7936f0549571a803b203aaced,0x581ffaadeeb6d183a73d93413e137cb8c6057603,0,0,call,0x,4.505,None
2,5533314,1525110382,0x7f0a4673962f10a78a0fbaef47cefd1db25bc3bb62e4c5400e2de7c30b0720bd,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x581ffaadeeb6d183a73d93413e137cb8c6057603,0,0,call,0x,0.53673015,None
3,5533792,1525117108,0xcf8d44e17d50bcbc506fc12affa543e9630c601a9e885d4296882813790e16af,0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x581ffaadeeb6d183a73d93413e137cb8c6057603,0,0,call,0x,0.59,None
4,5534067,1525120771,0x127678063e4c98a53e39ba318cd5b30c1818d9432a3dab57feb959abcec478d6,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0x581ffaadeeb6d183a73d93413e137cb8c6057603,0,0,call,0x,10.0,None
5,5583003,1525861005,0x03201f0073f080628f41d64f75e1dfb5edc0b15a3d03612acb9bc2ed39a067b2,0x581ffaadeeb6d183a73d93413e137cb8c6057603,0x65765dab7a893cb6add72a2beaea568efbee1aad,0,0,call,0x,10.0,None
6,5583015,1525861177,0xf1ea90a16e007cb2d236fda6a5ce9bb59a57f8c4231ef817e21e54ba0196c519,0x581ffaadeeb6d183a73d93413e137cb8c6057603,0x4e9839d6be4164d89e5413f3ad1e05a1a59a1161,0,0,call,0x,6.62984415,None
