blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
4178271,1503161836,0x77eaea866f7cef91be955a6060cc3cd0ceabfb122111f2f6cac6a3ed6b5806cf,0xc13422369c55d3d9b6c442ca6426947d73bbe1c3,0xbfcb157c970ac5e5dd44272a9748e940fdd748a7,0,0,call,0x,0.01344288,None
4709549,1512928095,0xe4a32e6b44487791197cb9c31b1a1d78f5cdf2e2aeaa3df84e896a011a3b22df,0x1e703416d18e33610ea8c1a88370a1441ac1adfe,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0,0,call,0x,7.00211801,None
4711795,1512961097,0xe6fbae3956e10380eb4cb38f6d4138fdaf56cb7db9b70a3abce2f1d0e04908dd,0x1e703416d18e33610ea8c1a88370a1441ac1adfe,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0,0,call,0x,24.99907389936998,None
7972736,1560731116,0x6ed8921f35e103cdfed9fbd41cd597d84038c70b56f000f8c30180b205aedba0,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xbfcb157c970ac5e5dd44272a9748e940fdd748a7,0,0,call,0x,0.05137198,None
3668784,1494203356,0xe04bdbcd83b10b21cb41f5001d46e85ffa86e88f7ffda5a77f72b989ec299dab,0x7f4299b5ffcfde657dc72fb45aed12a7c823de54,0xbfcb157c970ac5e5dd44272a9748e940fdd748a7,0,0,call,0x,0.005,None
3893760,1497804850,0xd87e1ee8a3a4438a9af89802c99c5a190ca2cda8d7206fee0307dc6202de2fa8,0xbfcb157c970ac5e5dd44272a9748e940fdd748a7,0xf5d2c0b66fd578e6e5557f27c0d8af7a709059b4,0,0,call,0x,0.01,None
3668816,1494204038,0x6478c8103bb2c1fd0a1fc5a0205396f6e8817a12c79d395c1ef98d71d14537f4,0xbebe4806dce7f01a354bc3670841fdfb6891d3c8,0xbfcb157c970ac5e5dd44272a9748e940fdd748a7,0,0,call,0x,103.65676299,None
7921757,1560042605,0x3cf8c1beff00c721010b940d95e22c38d9f400d5ec492fdf82ff229f2ff4cc0c,0xbfcb157c970ac5e5dd44272a9748e940fdd748a7,0x86fb978f920922301b88675bc9bda9ddaec1b6bb,0,0,call,0x,6.531e-05,None
7922215,1560049000,0x601de3eb8593735f8708ede513d6e4c4726a2acaf886f49e5d162a4d84976010,0xbfcb157c970ac5e5dd44272a9748e940fdd748a7,0x86fb978f920922301b88675bc9bda9ddaec1b6bb,0,0,call,0x,9.499999999999999e-05,None
3668799,1494203616,0x69cba1078637e82ab65878fbe4c01d4e2d3096b6a0a33145832904fce075e992,0xbfcb157c970ac5e5dd44272a9748e940fdd748a7,0xbe67e1fd9f68d53e895d3a4afbf6dadf12ce56c9,0,0,call,0x,0.005,None
